Model,Tag,FeatureSet,MAE,RMSE,R2
RandomForest,NOLAG,SELECTED,0.2703334564180517,0.40716030339364506,0.7506273318102372
XGBoost,NOLAG,SELECTED,0.3000555821349627,0.4585131939786519,0.6837564562274425
LightGBM,NOLAG,SELECTED,0.303751934188904,0.45207842900185535,0.6925704823543826
