Season,MAE,RMSE,R2
Aman,0.1836538995098031,0.23531526238475614,0.5974956011199168
Aus,0.2571674758277353,0.35540858258748376,0.231903305550899
Boro,0.2827355577752335,0.49417036185541385,0.02842321837616002
