Model,Tag,FeatureSet,MAE,RMSE,R2
RandomForest,NOLAG,RAW,0.2688158414528496,0.4077368160847272,0.7499206406673825
XGBoost,NOLAG,RAW,0.2944792828900232,0.44766614279931993,0.6985422225313436
LightGBM,NOLAG,RAW,0.3201600998897025,0.46741299265999636,0.6713606567258898
