Year,MAE,RMSE,R2
2005,0.20659626636527947,0.25819735313193504,-0.052623054097755695
2006,0.4959312413906809,0.5734506236629402,-0.9567672648037691
2007,0.34517653301525175,0.41308964923515384,-1.631684639195699
2008,0.5325974687914009,0.9916827352096651,-0.34315810476527764
2009,0.26178506393695344,0.3134677321888406,0.13913290271705425
2010,0.4177253789684687,0.5654211552112837,-5.026104356902572
2011,0.20422152598897444,0.26364850849933374,-0.12817774374511504
2012,0.3966122746078398,0.9049529368704293,-0.0942065863205861
2013,0.3021127148040102,0.4631203908462425,-1.2492523841039502
2014,0.36820462082552613,0.5442984876391629,-1.4921763139426822
