Fold,MAE,RMSE,R2
1,0.5458215070283915,0.7351223253485817,0.20146418504123764
2,0.5414726555414076,0.7393184976588781,0.15363606009898312
3,0.5412026764963604,0.7430602893930888,0.22155744678531364
4,0.529556167775166,0.6950044439656544,0.275744171693311
5,0.6056262464029658,0.7619592214352215,0.05137139142414404
