Season,MAE,RMSE,R2
Aman,0.18499942434905742,0.23904592662379093,0.5846319055996265
Aus,0.2609730521173634,0.35831813227912707,0.2192757931014041
Boro,0.2695054761165034,0.48615155623440637,0.05969856537891205
