Year,MAE,RMSE,R2
2005,0.3914375262549486,0.47072263835735906,-2.4986417654586983
2006,0.5352342195792551,0.625360625949499,-1.3270632243090974
2007,0.21972896616756663,0.29624059410886555,-0.35342551480123463
2008,0.5168566898206216,0.9782585036043577,-0.3070400509836517
2009,0.3133109585768492,0.3894170488863756,-0.3285574765660053
2010,0.2603980292602278,0.40362807666559697,-2.070826488170557
2011,0.23843368395593875,0.2688029596813347,-0.17272175772865217
2012,0.36499784812260544,0.8857155595983232,-0.04818003956131034
2013,0.16630198000496965,0.21554989362574956,0.5127565506311749
2014,0.2508143027344104,0.3207653224292696,0.13447556922796777
