Fold,MAE,RMSE,R2
1,0.5655068191555681,0.7749306809392241,0.11263787831529515
2,0.5823264549342838,0.8036144208003957,2.4292032854700274e-05
3,0.5880000361071009,0.7948272448203962,0.1093153777150806
4,0.6039510431185385,0.8482756524359296,-0.0789239643186952
5,0.6217118123318573,0.8070902557691203,-0.06433162588563812
