District,Division,Year,Production(tons),Area(ha),Yield_t_ha,Season
Chandpur,Chittagong,2014,221831.0,64424.74018768127,3.4432579681930413,Boro
Feni,Chittagong,2014,111634.0,31524.20215921152,3.5412157121756063,Boro
Comilla,Chittagong,2014,576496.0,158559.8814860544,3.635825119172429,Boro
Rangamati,Chittagong,2014,29896.0,7602.42447512064,3.932429726574244,Boro
Noakhali,Chittagong,2014,262472.0,59816.98946513664,4.387917251385203,Boro
Khagrachhari,Chittagong,2014,35101.0,10334.45724588288,3.3965015447699307,Boro
Dinajpur,North region,2014,735364.0,179009.45635972606,4.107961752156037,Boro
Rangpur,North region,2014,605244.0,135152.86393889278,4.478218088472409,Boro
Rajshahi,North region,2014,298819.0,72458.964243072,4.123975592551627,Boro
Bogura,North region,2014,688437.0,190141.549006464,3.620655262341405,Boro
Khulna,Khulna,2005,24482.0,13040.18544989952,1.877427287676238,Aus
Jessor,Khulna,2005,116121.0,57707.76789778176,2.0122247702542597,Aus
Kushtia,Khulna,2005,75932.0,39880.96067146752,1.9039661713646956,Aus
Chittagong,Chittagong,2005,82878.0,35063.9874718848,2.363621652171012,Aus
Comilla,Chittagong,2005,154405.0,84589.416369216,1.8253465578489496,Aus
Rangamati,Chittagong,2005,9894.0,5531.243358136319,1.7887479106205255,Aus
Noakhali,Chittagong,2005,128835.0,85160.42781041663,1.512850549398499,Aus
Dinajpur,North region,2005,17752.0,8444.17061097984,2.1022786982675736,Aus
Rangpur,North region,2005,3612.0,2822.682354624,1.2796338894041597,Aus
Rajshahi,North region,2005,175489.0,86705.9222781312,2.023956327193829,Aus
Bogra,North region,2005,14846.0,8039.889654382079,1.8465427559578884,Aus
Khulna,Khulna,2005,666957.0,323965.8299818829,2.058726378758211,Aman
Jessor,Khulna,2005,757824.0,308722.940581271,2.454705823199114,Aman
Kushtia,Khulna,2005,243711.0,119149.97490215424,2.045413775371208,Aman
Chittagong,Chittagong,2005,643804.0,256023.15750620927,2.514631903890905,Aman
Comilla,Chittagong,2005,410652.0,222047.7744119501,1.849385795860964,Aman
Rangamati,Chittagong,2005,24791.0,10269.70754312448,2.413992793455687,Aman
Noakhali,Chittagong,2005,493400.0,263336.6364327705,1.873647384138152,Aman
Dinajpur,North region,2005,823558.0,407993.1379940275,2.018558459216184,Aman
Rangpur,North region,2005,1115308.0,544033.0728607103,2.050073893734681,Aman
Rajshahi,North region,2005,892830.0,388443.98867433984,2.2984780973107624,Aman
Bogra,North region,2005,458407.0,218923.60125385725,2.093913115692104,Aman
Khulna,Khulna,2005,334953.0,109387.33846875648,3.062081998600508,Boro
Jessor,Khulna,2005,1008922.0,270179.8706430489,3.7342604302781246,Boro
Kushtia,Khulna,2005,301038.0,82118.8105233408,3.665883590878796,Boro
Chittagong,Chittagong,2005,313277.0,110824.78186999296,2.826777501511359,Boro
Comilla,Chittagong,2005,1157012.0,336798.8163829555,3.435320861354884,Boro
Rangamati,Chittagong,2005,21817.0,6928.218195148799,3.14900590389553,Boro
Noakhali,Chittagong,2005,342958.0,100822.57153638912,3.4015994114593555,Boro
Dinajpur,North region,2005,764233.0,225748.21992459265,3.3853334491642024,Boro
Rangpur,North region,2005,1228937.0,368640.2920856832,3.333702328215272,Boro
Rajshahi,North region,2005,1274843.0,358932.28821398783,3.551764613720027,Boro
Bogra,North region,2005,901785.0,267603.6418445491,3.3698532418473093,Boro
