District,Division,Year,Season,Yield_t_ha,Production(tons),Area(ha),Rain,Tmax,Tmin,Tmean,RH,Sunshine,Cloud,Wind,TempRange,NDVI_mean_season,NDVI_max_season,NDVI_integral,NDVI_peak_date,NDVI_anom,Area_ir,Area_rf,Area_total,Pct_irrigated,Planting_Month_w,Maturity_Month_w,Yield_t_ha_lag1,Yield_t_ha_ma3
Bogra,North region,2005,Aman,2.093913115692104,458407.0,218923.60125385725,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
Bogra,North region,2005,Aus,1.8465427559578884,14846.0,8039.889654382079,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
Bogra,North region,2005,Boro,3.3698532418473093,901785.0,267603.6418445491,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
Bogura,North region,2006,Aman,2.1812541893513457,372447.0,170749.0130303232,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
Bogura,North region,2007,Aman,2.197843616148403,365945.0,166501.83721501438,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,2.1812541893513457,2.1812541893513457
Bogura,North region,2008,Aman,2.151117402712904,386283.0,179573.18345936638,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,2.197843616148403,2.1895489027498742
Bogura,North region,2009,Aman,2.048816795713132,366445.0,178856.88987260158,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,2.151117402712904,2.1767384027375507
Bogura,North region,2010,Aman,2.1619575473817654,396788.0,183531.81841175808,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,2.048816795713132,2.132592604858146
Bogura,North region,2011,Aman,2.335466854158094,428279.0,183380.46598156032,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,2.1619575473817654,2.120630581935934
Bogura,North region,2012,Aman,2.4616343235987737,448188.0,182069.28450070272,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,2.335466854158094,2.1820803990843305
Bogura,North region,2013,Aman,2.5441050948070605,468936.0,184322.57415669505,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,2.4616343235987737,2.3196862417128776
Bogura,North region,2014,Aman,2.65019810098767,480483.0,181300.78646608896,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,2.5441050948070605,2.447068757521309
Bogura,North region,2006,Aus,1.875239549615437,15891.0,8474.117348505599,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
Bogura,North region,2007,Aus,2.0890290359787187,44430.0,21268.2539279232,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,1.875239549615437,1.875239549615437
Bogura,North region,2008,Aus,2.066112297520775,60130.0,29102.9679616896,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,2.0890290359787187,1.982134292797078
Bogura,North region,2009,Aus,1.6852159201197667,27889.0,16549.21465376256,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,2.066112297520775,2.0101269610383103
