Model,Tag,FeatureSet,MAE,RMSE,R2
RandomForest,WITHLAG,RAW,0.2556136187334747,0.39754692987482826,0.7622640821085841
XGBoost,WITHLAG,RAW,0.27130341788758033,0.41698742611094813,0.7384444665968255
LightGBM,WITHLAG,RAW,0.2889089300970497,0.4285358078385658,0.7237563987361584
