Season,MAE,RMSE,R2
Aman,0.22119860318896345,0.2809697285550478,0.4261617378570265
Aus,0.2958255895504166,0.3742843685306804,0.14814936132712964
Boro,0.3294812879104431,0.5808247482635375,-0.34218989190340654
