Model,Tag,FeatureSet,MAE,RMSE,R2
RandomForest,WITHLAG,SELECTED,0.25445131009533795,0.39370573488895977,0.7668360116877928
XGBoost,WITHLAG,SELECTED,0.2801876979495194,0.42675944133284194,0.7260418219214382
LightGBM,WITHLAG,SELECTED,0.280702720527694,0.41949376617784634,0.735290811670695
