Season,MAE,RMSE,R2
Aman,0.19351061447178364,0.2543340066194209,0.5298035946448002
Aus,0.27367808924551806,0.3593783824824578,0.21464868894675515
Boro,0.33766181938674295,0.551865214561567,-0.21168513114208376
