District,Division,Year,Production(tons),Area(ha),Yield_t_ha,Season,Rain,Tmax,Tmin,Tmean,RH,Sunshine,Cloud,Wind,TempRange,NDVI_mean_season,NDVI_max_season,NDVI_integral,NDVI_anom,Area_ir,Area_rf,Area_total,Pct_irrigated,Planting_Month_w,Maturity_Month_w,NDVI_peak_month,NDVI_peak_doy,Yield_t_ha_lag1,Yield_t_ha_lag2,Yield_t_ha_lag3,Yield_t_ha_ma3,NDVI_mean_lag1,NDVI_mean_lag2,NDVI_mean_trend2,Rain_ma3,Tmax_ma3,Tmin_ma3,Sunshine_ma3,NDVI_mean_season_ma3,lag1_rain_interaction,ndvi_rain_interaction,lag1_ndvi_interaction
Bogra,North region,2005,458407.0,218923.60125385725,2.093913115692104,Aman,4308.666666666667,33.36833333333333,21.907692307692308,27.675833333333333,82.52083333333333,284.6,3.623076923076923,2.032,11.628000000000004,0.522888888888889,0.62,6.113,0.0132933333333333,787.0,31361.0,51665.0,0.0142971333066889,7.0,8.0,4.0,92.0,,,,,,,,,,,,,,2252.9539259259263,
Bogra,North region,2005,14846.0,8039.889654382079,1.8465427559578884,Aus,4308.666666666667,33.36833333333333,21.907692307692308,27.675833333333333,82.52083333333333,284.6,3.623076923076923,2.032,11.628000000000004,0.522888888888889,0.62,6.113,0.0132933333333333,787.0,31361.0,51665.0,0.0142971333066889,7.0,8.0,4.0,92.0,,,,,,,,,,,,,,2252.9539259259263,
Bogra,North region,2005,901785.0,267603.6418445491,3.3698532418473093,Boro,4308.666666666667,33.36833333333333,21.907692307692308,27.675833333333333,82.52083333333333,284.6,3.623076923076923,2.032,11.628000000000004,0.522888888888889,0.62,6.113,0.0132933333333333,787.0,31361.0,51665.0,0.0142971333066889,7.0,8.0,4.0,92.0,,,,,,,,,,,,,,2252.9539259259263,
Bogura,North region,2006,372447.0,170749.0130303232,2.1812541893513457,Aman,4308.666666666667,33.36833333333333,21.907692307692308,27.675833333333333,82.52083333333333,284.6,3.623076923076923,2.032,11.628000000000004,0.522888888888889,0.62,6.113,0.0132933333333333,787.0,31361.0,51665.0,0.0142971333066889,7.0,8.0,4.0,92.0,,,,,0.522888888888889,,,4308.666666666667,33.36833333333333,21.907692307692308,284.6,0.522888888888889,,2252.9539259259263,
Bogura,North region,2007,365945.0,166501.83721501438,2.197843616148403,Aman,4308.666666666667,33.36833333333333,21.907692307692308,27.675833333333333,82.52083333333333,284.6,3.623076923076923,2.032,11.628000000000004,0.522888888888889,0.62,6.113,0.0132933333333333,787.0,31361.0,51665.0,0.0142971333066889,7.0,8.0,4.0,92.0,2.1812541893513457,,,2.1812541893513457,0.522888888888889,0.522888888888889,0.0,4308.666666666667,33.36833333333333,21.907692307692308,284.6,0.522888888888889,9398.297217185165,2252.9539259259263,1.1405535794541595
Bogura,North region,2008,386283.0,179573.18345936638,2.151117402712904,Aman,4308.666666666667,33.36833333333333,21.907692307692308,27.675833333333333,82.52083333333333,284.6,3.623076923076923,2.032,11.628000000000004,0.522888888888889,0.62,6.113,0.0132933333333333,787.0,31361.0,51665.0,0.0142971333066889,7.0,8.0,4.0,92.0,2.197843616148403,2.1812541893513457,,2.1895489027498742,0.522888888888889,0.522888888888889,0.0,4308.666666666667,33.36833333333333,21.907692307692308,284.6,0.522888888888889,9469.775527444754,2252.9539259259263,1.1492280063993763
Bogura,North region,2009,366445.0,178856.88987260158,2.048816795713132,Aman,4308.666666666667,33.36833333333333,21.907692307692308,27.675833333333333,82.52083333333333,284.6,3.623076923076923,2.032,11.628000000000004,0.522888888888889,0.62,6.113,0.0132933333333333,787.0,31361.0,51665.0,0.0142971333066889,7.0,8.0,4.0,92.0,2.151117402712904,2.197843616148403,2.1812541893513457,2.1767384027375507,0.522888888888889,0.522888888888889,0.0,4308.666666666667,33.36833333333333,21.907692307692308,284.6,0.522888888888889,9268.447849155667,2252.9539259259263,1.124795388574103
Bogura,North region,2010,396788.0,183531.81841175808,2.1619575473817654,Aman,4308.666666666667,33.36833333333333,21.907692307692308,27.675833333333333,82.52083333333333,284.6,3.623076923076923,2.032,11.628000000000004,0.522888888888889,0.62,6.113,0.0132933333333333,787.0,31361.0,51665.0,0.0142971333066889,7.0,8.0,4.0,92.0,2.048816795713132,2.151117402712904,2.197843616148403,2.132592604858146,0.522888888888889,0.522888888888889,0.0,4308.666666666667,33.36833333333333,21.907692307692308,284.6,0.522888888888889,8827.668633795982,2252.9539259259263,1.0713035378473332
Bogura,North region,2011,428279.0,183380.46598156032,2.335466854158094,Aman,4308.666666666667,33.36833333333333,21.907692307692308,27.675833333333333,82.52083333333333,284.6,3.623076923076923,2.032,11.628000000000004,0.522888888888889,0.62,6.113,0.0132933333333333,787.0,31361.0,51665.0,0.0142971333066889,7.0,8.0,4.0,92.0,2.1619575473817654,2.048816795713132,2.151117402712904,2.120630581935934,0.522888888888889,0.522888888888889,0.0,4308.666666666667,33.36833333333333,21.907692307692308,284.6,0.522888888888889,9315.154419152233,2252.9539259259263,1.1304635797753988
Bogura,North region,2012,448188.0,182069.28450070272,2.4616343235987737,Aman,4308.666666666667,33.36833333333333,21.907692307692308,27.675833333333333,82.52083333333333,284.6,3.623076923076923,2.032,11.628000000000004,0.522888888888889,0.62,6.113,0.0132933333333333,787.0,31361.0,51665.0,0.0142971333066889,7.0,8.0,4.0,92.0,2.335466854158094,2.1619575473817654,2.048816795713132,2.1820803990843305,0.522888888888889,0.522888888888889,0.0,4308.666666666667,33.36833333333333,21.907692307692308,284.6,0.522888888888889,10062.748185615841,2252.9539259259263,1.2211896684075545
