Season,MAE,RMSE,R2
Aman,0.20350291237132453,0.2636585658628284,0.4946942855032316
Aus,0.2745466331269818,0.3533249610707261,0.24088300694932374
Boro,0.2676572218763538,0.4877683364321533,0.05343389888341532
