Fold,MAE,RMSE,R2
1,0.576013958219406,0.7832538437731973,0.09347404199728526
2,0.6487973939463935,0.8934103825121431,-0.23593604233799947
3,0.5441739900674409,0.747945742806755,0.2112876289430864
4,0.6235994954970714,0.8445426848211486,-0.06944891644943385
5,0.5647084158101595,0.7504168753612734,0.07989383012580098
